Source,TestCaseID,File,Layer,Component,PriorityScore,Est,Owner,Jira/PR/SlackRef
PR,IO-136500_pr_tests,IO-136500_pr_tests.md,BE,core,8,M,,
PR,PR-13217_structured_test_cases,PR-13217_structured_test_cases.md,UI,core,8,M,,PR-13217
PR,PR-13226_structured_test_cases,PR-13226_structured_test_cases.md,BE,core,8,M,,PR-13226
PR,PR-13367_structured_test_cases,PR-13367_structured_test_cases.md,BE,core,8,M,,PR-13367
PR,PR-13616_structured_test_cases,PR-13616_structured_test_cases.md,UI,core,8,M,,PR-13616
PR,PR-13635_structured_test_cases,PR-13635_structured_test_cases.md,BE,core,8,M,,PR-13635
PR,PR-13977_structured_test_cases,PR-13977_structured_test_cases.md,UI,core,8,M,,PR-13977
PR,PR-13978_structured_test_cases,PR-13978_structured_test_cases.md,BE,core,8,M,,PR-13978
PR,PR-14034_structured_test_cases,PR-14034_structured_test_cases.md,BE,core,8,M,,PR-14034
PR,PR-14039_structured_test_cases,PR-14039_structured_test_cases.md,UI,core,8,M,,PR-14039
PR,PR-14161_structured_test_cases,PR-14161_structured_test_cases.md,BE,core,8,M,,PR-14161
PR,PR-14177_structured_test_cases,PR-14177_structured_test_cases.md,UI,core,8,M,,PR-14177
PR,PR-14184_structured_test_cases,PR-14184_structured_test_cases.md,UI,core,8,M,,PR-14184
PR,SEC-019,PR-14192.md,BE,core,8,M,,PR-14192
PR,SEC-020,PR-14192.md,BE,core,8,M,,PR-14192
PR,SEC-021,PR-14192.md,BE,core,8,M,,PR-14192
PR,PR-14192_structured_test_cases,PR-14192_structured_test_cases.md,BE,core,8,M,,PR-14192
PR,SEC-019,PR-143929.md,BE,core,8,M,,PR-143929
PR,SEC-020,PR-143929.md,BE,core,8,M,,PR-143929
PR,SEC-021,PR-143929.md,BE,core,8,M,,PR-143929
PR,SEC-019,PR-2025.md,BE,core,8,M,,PR-2025
PR,SEC-020,PR-2025.md,BE,core,8,M,,PR-2025
PR,SEC-021,PR-2025.md,BE,core,8,M,,PR-2025
Jira,IO-141368-testcases,IO-141368-testcases.md,UI,core,7,M,,IO-141368
Jira,IO-141368-testcases_v4,IO-141368-testcases_v4.md,UI,core,7,M,,IO-141368
PR,FUN-001,PR-14192.md,BE,core,7,M,,PR-14192
PR,FUN-002,PR-14192.md,BE,core,7,M,,PR-14192
PR,FUN-003,PR-14192.md,BE,core,7,M,,PR-14192
PR,REG-004,PR-14192.md,BE,core,7,M,,PR-14192
PR,REG-005,PR-14192.md,BE,core,7,M,,PR-14192
PR,REG-006,PR-14192.md,BE,core,7,M,,PR-14192
PR,NEG-007,PR-14192.md,BE,core,7,M,,PR-14192
PR,NEG-008,PR-14192.md,BE,core,7,M,,PR-14192
PR,NEG-009,PR-14192.md,BE,core,7,M,,PR-14192
PR,INT-010,PR-14192.md,BE,core,7,M,,PR-14192
PR,INT-011,PR-14192.md,BE,core,7,M,,PR-14192
PR,INT-012,PR-14192.md,BE,core,7,M,,PR-14192
PR,API-013,PR-14192.md,API,core,7,M,,PR-14192
PR,API-014,PR-14192.md,API,core,7,M,,PR-14192
PR,API-015,PR-14192.md,API,core,7,M,,PR-14192
PR,PER-016,PR-14192.md,BE,core,7,M,,PR-14192
PR,PER-017,PR-14192.md,BE,core,7,M,,PR-14192
PR,PER-018,PR-14192.md,BE,core,7,M,,PR-14192
PR,REL-022,PR-14192.md,BE,core,7,M,,PR-14192
PR,REL-023,PR-14192.md,BE,core,7,M,,PR-14192
PR,REL-024,PR-14192.md,BE,core,7,M,,PR-14192
PR,E2E-025,PR-14192.md,BE,core,7,M,,PR-14192
PR,E2E-026,PR-14192.md,BE,core,7,M,,PR-14192
PR,E2E-027,PR-14192.md,BE,core,7,M,,PR-14192
PR,COM-028,PR-14192.md,BE,core,7,M,,PR-14192
PR,COM-029,PR-14192.md,BE,core,7,M,,PR-14192
PR,COM-030,PR-14192.md,BE,core,7,M,,PR-14192
PR,ERR-031,PR-14192.md,BE,core,7,M,,PR-14192
PR,ERR-032,PR-14192.md,BE,core,7,M,,PR-14192
PR,ERR-033,PR-14192.md,BE,core,7,M,,PR-14192
PR,FUN-001,PR-143929.md,BE,core,7,M,,PR-143929
PR,FUN-002,PR-143929.md,BE,core,7,M,,PR-143929
PR,FUN-003,PR-143929.md,BE,core,7,M,,PR-143929
PR,REG-004,PR-143929.md,BE,core,7,M,,PR-143929
PR,REG-005,PR-143929.md,BE,core,7,M,,PR-143929
PR,REG-006,PR-143929.md,BE,core,7,M,,PR-143929
PR,NEG-007,PR-143929.md,BE,core,7,M,,PR-143929
PR,NEG-008,PR-143929.md,BE,core,7,M,,PR-143929
PR,NEG-009,PR-143929.md,BE,core,7,M,,PR-143929
PR,INT-010,PR-143929.md,BE,core,7,M,,PR-143929
PR,INT-011,PR-143929.md,BE,core,7,M,,PR-143929
PR,INT-012,PR-143929.md,BE,core,7,M,,PR-143929
PR,API-013,PR-143929.md,API,core,7,M,,PR-143929
PR,API-014,PR-143929.md,API,core,7,M,,PR-143929
PR,API-015,PR-143929.md,API,core,7,M,,PR-143929
PR,PER-016,PR-143929.md,BE,core,7,M,,PR-143929
PR,PER-017,PR-143929.md,BE,core,7,M,,PR-143929
PR,PER-018,PR-143929.md,BE,core,7,M,,PR-143929
PR,REL-022,PR-143929.md,BE,core,7,M,,PR-143929
PR,REL-023,PR-143929.md,BE,core,7,M,,PR-143929
PR,REL-024,PR-143929.md,BE,core,7,M,,PR-143929
PR,E2E-025,PR-143929.md,BE,core,7,M,,PR-143929
PR,E2E-026,PR-143929.md,BE,core,7,M,,PR-143929
PR,E2E-027,PR-143929.md,BE,core,7,M,,PR-143929
PR,COM-028,PR-143929.md,BE,core,7,M,,PR-143929
PR,COM-029,PR-143929.md,BE,core,7,M,,PR-143929
PR,COM-030,PR-143929.md,BE,core,7,M,,PR-143929
PR,ERR-031,PR-143929.md,BE,core,7,M,,PR-143929
PR,ERR-032,PR-143929.md,BE,core,7,M,,PR-143929
PR,ERR-033,PR-143929.md,BE,core,7,M,,PR-143929
PR,FUN-001,PR-2025.md,BE,core,7,M,,PR-2025
PR,FUN-002,PR-2025.md,BE,core,7,M,,PR-2025
PR,FUN-003,PR-2025.md,BE,core,7,M,,PR-2025
PR,REG-004,PR-2025.md,BE,core,7,M,,PR-2025
PR,REG-005,PR-2025.md,BE,core,7,M,,PR-2025
PR,REG-006,PR-2025.md,BE,core,7,M,,PR-2025
PR,NEG-007,PR-2025.md,BE,core,7,M,,PR-2025
PR,NEG-008,PR-2025.md,BE,core,7,M,,PR-2025
PR,NEG-009,PR-2025.md,BE,core,7,M,,PR-2025
PR,INT-010,PR-2025.md,BE,core,7,M,,PR-2025
PR,INT-011,PR-2025.md,BE,core,7,M,,PR-2025
PR,INT-012,PR-2025.md,BE,core,7,M,,PR-2025
PR,API-013,PR-2025.md,API,core,7,M,,PR-2025
PR,API-014,PR-2025.md,API,core,7,M,,PR-2025
PR,API-015,PR-2025.md,API,core,7,M,,PR-2025
PR,PER-016,PR-2025.md,BE,core,7,M,,PR-2025
PR,PER-017,PR-2025.md,BE,core,7,M,,PR-2025
PR,PER-018,PR-2025.md,BE,core,7,M,,PR-2025
PR,REL-022,PR-2025.md,BE,core,7,M,,PR-2025
PR,REL-023,PR-2025.md,BE,core,7,M,,PR-2025
PR,REL-024,PR-2025.md,BE,core,7,M,,PR-2025
