pr_number,created_at,url,matched_issue_key,title
"14192","2025-08-28T09:43:25Z","https://github.com/celigo/celigo-qa-automation/pull/14192","IO-143929","[QA]IO-143929 tests update"
"14184","2025-08-26T12:55:04Z","https://github.com/celigo/celigo-qa-automation/pull/14184","IO-115","IO-115128_1"
"14177","2025-08-26T05:48:31Z","https://github.com/celigo/celigo-qa-automation/pull/14177","IO-115","IO-115128 Empty object"
"14161","2025-08-25T06:42:20Z","https://github.com/celigo/celigo-qa-automation/pull/14161","IO-141978","secondstory"
"14039","2025-08-18T21:51:45Z","https://github.com/celigo/celigo-qa-automation/pull/14039","IO-939","Timezone automation test cases"
"14034","2025-08-18T11:23:07Z","https://github.com/celigo/celigo-qa-automation/pull/14034","IO-1413","IO-141395"
"13978","2025-08-12T06:21:01Z","https://github.com/celigo/celigo-qa-automation/pull/13978","IO-135","V8 upgrade new functions"
"13977","2025-08-12T05:53:00Z","https://github.com/celigo/celigo-qa-automation/pull/13977","IO-135","IO-135027"
"13635","2025-07-29T04:31:44Z","https://github.com/celigo/celigo-qa-automation/pull/13635","IO-135","Add snowflake related testcases for epic IO-79253"
"13616","2025-07-28T02:34:52Z","https://github.com/celigo/celigo-qa-automation/pull/13616","IO-13813","IO-138139 Automation test cases for branching epic :- IO-116528"
"13367","2025-07-09T05:54:31Z","https://github.com/celigo/celigo-qa-automation/pull/13367","IO-135","IO-135686 test cases"
"13226","2025-06-30T11:31:58Z","https://github.com/celigo/celigo-qa-automation/pull/13226","IO-135","IO-135289"
"13217","2025-06-30T06:45:32Z","https://github.com/celigo/celigo-qa-automation/pull/13217","IO-135","New test case - IO-T41792"
