JIRA ID,Priority,Summary,Main Release,Affected Version,Scrum Team,Team,Number of customers impacted (via linked ZD),Component/Feature,Type of bug,Type of Miss,Depedency on MS,Reason for the regression/Escape bug?,Test Case ,Automation Status,"Internal 
RCA 
Available 
/ Not","External 
RCA 
Available 
/ Not",What is the learning?,Comments ,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,is_e2e_failure
IO-61750,P2,[Customer Issue] - Flow is being blacklisted due to a Stack connecting to http://internal-tech-services-2109885720.us-east-1.elb.amazonaws.com,2024-01-01,2024-01-01,Falcon,platform,1.0,HTTP,Escaped bug,,Yes,"Earlier, only one eTail stack URL was whitelisted using the environment variable ETAIL_STACK_HOST_NAME. However, the customer was encountering a blacklisting error. A fix was made to enhance the code to support multiple stack URLs using the WHITELIST_STACK_HOST_NAMES environment variable",New Test Case,Newly Automated,No,No,"After every story or defect fix, it's important to identify the impacted areas and test them thoroughly",,,,,,True
IO-62952,P2,mdn signature verification error when we are receiving empty mdn message,2024-01-01,2024-01-02,Ganges,platform,2.0,AS2,Escaped bug,,No,"fixed a rare case of hard to reproduce server crash bug in our AS2 connector, while fixing the bug  ended up having a regression which affected MDN verification",New Test Case,Newly Automated,Yes,Yes,"This was an edge case that was hard to reproduce from QA’s end.
For such scenarios, the Dev team should ensure more comprehensive unit test coverage and perform Dev-side testing to avoid regression issue.",RCA,,,,,True
IO-63422,P2,Include script definitions for exports/imports while generating ai description,2024-01-01,2024-01-01,Hercules (UI),UI,0.0,AI/ML,Internal Bug,,Yes,"This is not a bug and this is feedback.this is fixed by another tracker
https://celigo.atlassian.net/browse/IO-64344",New Test Case,Newly Automated,No,No,Not applicable as this an enhancement request,,,,,,True
IO-63415,P2,Irrelevant fields need to be ignored while generating the description,2024-01-01,2024-01-01,Velocity,Platform,0.0,Ai/Ml,Internal Bug,,Yes,This is not a bug and this is feedback.,New Test Case,Newly Automated,No,No,Not applicable as this an enhancement request,,,,,,True
IO-62995,P1,Getting error with Flow Description when restricted the Tile Access to manage level,2024-01-01,2024-01-01,Tintin,core,0.0,Account Management,Internal Bug,,No,"issue with Flows patch call, for Custom manage access only",Test Case Not Available,Not Automated,No,No,"Every defect should have test case added/attached 
and automated as well, to avoid regression issue",,,,,,True
IO-63437,P2,AI generated the description for XML though there’s no specific XML configuration present in the UI,2024-01-01,2024-01-01,Velocity,Platform,0.0,Ai/Ml,Internal Bug,,No,This is not a bug and this is feedback.,New Test Case,Newly Automated,No,No,Not applicable as this an enhancement request,,,,,,True
IO-63696,P1,Encountering an error with Flow Description when there are numerous bubbles in the flow,2024-01-01,2024-01-01,Velocity,Platform,0.0,Ai/Ml,Internal Bug,,No,"This is a performance issue,specific to few flows",New Test Case,Newly Automated,No,No,"After every story or defect fix, it's important to identify the impacted areas and test them thoroughly",,,,,,True
IO-64809,P1,"Agent installation is not working on QA staging env and ""Bearer Authentication Failed"" is coming when RMS is enabled",2024-01-01,2024-01-01,Avengers,Platform,0.0,Agents,Internal Bug,,Yes,Env variables were missed by Dev team as part of RMS.since agent extension calls go via RMS route if RMS is enabled,Existing Case,Not Automated,Yes,No,"As a prerequisite, ensure that all environment variables are added","RCA
Core team is working on it to automate the test cases",,,,,True
IO-61581,P1,Flow management and resource management service restarting due to redis error,2024-01-01,2024-01-01,Avengers,API,0.0,API,Escaped bug,,Yes,This issue happens when a service is idle and not receiving any traffic. Its not identified in testing as there was continous traffic while testing and restarts didn’t happen,Test Case Not Available,Not Automated,No,No,Such scenarios are challenging to cover through test cases and are not easily automatable,,,,,,True
IO-67126,P1,FM MS | Retrying errors are landing into stuck state when FM MS is enabled for an user,2024-01-01,2024-01-01,Minions,Core,0.0,Error Management,Internal Bug,,Yes,This happened due to FM MS enabled,Test Case Not Available,Not Automated,No,No,"This happened wrt FM microservice enabled accounts, MS dependency could have been tested with retry errors case","Going forward this may not occur, which are related MS specific as soon, all the users will be routed to MS 100%",,,,,True
IO-67058,P2,[FMS] : Retry error is showing all retry jobs as successful and not updating the error fields in case retry failed,2024-01-01,2024-01-03,Tintin,Core,0.0,Error Management,Internal Bug,,Yes,"This is same as IO-67126, mentioned above",Test Case Not Available,Not Automated,No,No,"This is same as IO-67126, mentioned above","This is same as IO-67126, mentioned above",,,,,True
IO-66398,P1,[flow-management] - pageGenerator.toObject is not a function,2024-01-01,2024-01-04,Minions,Platform,0.0,Database,Internal Bug,,Yes,This is an MongoDB Optimization,Test Case Not Available,Not Automated,No,No,This a DB optimization tracker,,,,,,True
IO-66120,P1,Travis | [integrator-adaptor] | JOB=Salesforce-ClassificationEngine,2024-03-01,2024-03-01,Aliens,Core,0.0,Error Management,Internal Bug,,Yes,"This is a error classifier, reported by Travis",New Test Case,Newly Automated,No,No,"Nothing here, Issue related to error classifier, related to Travis.",,,,,,True
CS-8064,P2,"[Spike] RCA - AmazonAWS error: ""statusCode"": 400 - Bad Request",2023-11-01,2023-11-06,Stark,Platform,1.0,HTTP,Escaped bug,,Yes,The AWS-related resources like SQS endpoints used with HTTP connector is not working with HTTP-MS as it was working with the monolith.,New Test Case,Newly Automated,Yes,Yes,There is a formatting issue while encoding baseURL,https://docs.google.com/document/d/1-aMTcoiXs40hpZwlEM1f0nSIP03LGnJg/edit?tab=t.0,,,,,True
