Date,Time,Zendesk Ticket,Assignee,Initial analysis Resolution Comments,Caused due to this release ?,Type of ticket,UI / BE Side,Jira Id,Feature/Component,Is this Regression /Escape Bug,Is Test case available?,"If test case availble, reason for Miss?",Is Test Cases Added Now - Zephyr ID,Automation status,is_customer_issue
,,https://celigosuccess.zendesk.com/agent/tickets/254003,Dhilip Srinivasan,"Its an config issue, not related to release",No,NAN,,,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254005,Yashwanth Thati,This is not related to the IO release,No,NAN,,,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254034,Yashwanth Thati,"This is not related to the July IO release, But need to check and address this (Shopify IA)",No,NAN,,,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254104,Dhilip Srinivasan,"Its an config issue, not related to release",No,NAN,,,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254101,Mallasarja Bapusaheb Desai,"Solved - This issue appears to be related to the mapper version being used, and we're currently awaiting the customer's confirmation to proceed with further analysis.",No,NAN,,,,,,,,,True
,,https://celigosuccess.zendesk.com/agent/tickets/254094,E2E,solved,No,NAN,,,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254092,Ashwini Jarupula,"this is not releated to Release,this is an query",No,NAN,,,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254090,E2E,"closed,not releated to release",No,NAN,,,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254085,Yashwanth Thati,This is not related to the July release,No,NAN,,,,,,,,,False
2025-07-15,3:10 PM,https://celigosuccess.zendesk.com/agent/tickets/254110,Ashwini Jarupula,this issue got resolved and closed.,,NAN,,,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254114,E2E,Bug got created for this issue.,No,BUG,BE Side,https://celigo.atlassian.net/browse/IO-138513,,,,,,,False
,,https://celigosuccess.zendesk.com/agent/tickets/254107,Ashwini Jarupula,"This issue got resolved now,this was releated to recent fix done for timestamp issue
https://celigo.atlassian.net/browse/IO-92671. this got reverted back to stable version.",Yes,BUG,UI Side,,,,,,,,False
