issueKey,summary,created,resolved,status,priority,severity,labels,components,Bug Detection Phase,linked_pr_number,is_escaped_defect
IO-144351,Target concurrency is set to 10 instead of 25 for Magento connection while installing IA,2025-08-26T15:30:45.513+0530,,Open,P2,S2,prodExist,UI,Integration Test,,False
IO-144324,[Marketplace] Search result message is not shown when the selected criteria matches only Integration apps,2025-08-26T15:04:34.179+0530,,Open,P4,S4,ReportedByAutomation,UI - Marketplace,Automation Test,,False
IO-144321,The Number of records per HTTP request value should be retained when Override request media type is plain text,2025-08-26T15:03:07.688+0530,,Pending deployment,P2,S2,,UI,Automation Test,,False
IO-144255,Fix fms post commit issue,2025-08-26T14:00:27.862+0530,,In Progress,P1,S1,,Core-FMS,Unit Test,,False
IO-144249,"Observing ""Unexpected Application Error!"" when opening any IA in iaqa environment",2025-08-26T13:56:08.055+0530,,Open,P2,S2,,Integration Apps Framework (IAF);UI,Production/Escaped (Internal),,True
IO-144175,"[QA Env]Observing this Error ""`false` is not a valid enum value for path `__onboarded`.\"" for this api request ""/test/publish/permissions\"" during regression run in QA Env",2025-08-26T11:57:24.062+0530,,Open,P3,S3,,Core,System Test/E2E,,False
IO-144120,[Changes in integrator-models] Has header value is supporting for url encoded and xml media types,2025-08-26T10:58:29.010+0530,,Open,P2,S2,,HTTP Adaptor,System Test/E2E,,False
IO-144116,[DI QA]All syncs goign to queued state in QA env ,2025-08-26T10:53:57.904+0530,,Open,P1,S1,,DI,Regression/PST Test,,False
IO-144112,FLET backward compatibility changes for EU,2025-08-26T10:44:16.098+0530,,Review,P2,S2,,Core-Workers,Production/Escaped (Internal),,True
IO-144087,[intermittent] Import /export form is getting closed if user switched from HTTP to simple withouts saving any changes and then toggle back to HTTP again,2025-08-25T19:16:26.059+0530,,Open,P2,S2,prodExist,UI - Usability,Integration Test,,False
IO-144066,Heap profiles are not getting created,2025-08-25T16:30:09.162+0530,,Open,P2,S2,PG2-Worker;Worker-MS,Core-FMS,Production/Escaped (Internal),,True
IO-144059,[Prod NA] flow-management container memory usage is too high (production),2025-08-25T16:22:31.235+0530,,Open,P2,S2,,Core-FMS,Production/Escaped (Internal),,True
IO-144044,Multi-instance bugs,2025-08-25T15:57:12.987+0530,,Open,P4,S2,,Core,Integration Test,,False
IO-144029,Fix flaky test-cases in RMS,2025-08-25T15:49:54.007+0530,,Open,P2,S2,,Core,Unit Test,,False
IO-144005,Tracekey Issue [Endpoint-Service],2025-08-25T14:21:53.428+0530,,Open,P2,S2,,API management,Production/Escaped (Internal),,True
IO-143967,Fix  CELIGO_AE_URL_CHANGED log,2025-08-25T13:14:48.351+0530,,In Progress,P1,S3,,DB Adaptor,Component Test,,False
IO-143879,"CLONE - Webhook Error ""Sorry, connector error. We saw it too and are fixing these as fast as we can!""",2025-08-22T14:58:46.279+0530,,Open,P4,S4,,Adaptor,Production/Escaped (Customer),,True
IO-143863,"<staging Env>: In SSO Account when changing OIDC settings we are not receiving an email which has subject ""SSO configuration changed"" only for staging account",2025-08-22T12:51:06.641+0530,,Open,P1,S1,,Core,System Test/E2E,,False
IO-143840,For Microsoft dynamic central-Relative uri is not contained properly to its container,2025-08-22T11:50:10.378+0530,,Open,P2,S2,slackReported,UI,Production/Escaped (Internal),,True
