Fetching PRs for celigo/celigo-qa-automation between 2023-08-01T00:00:00Z and 2025-08-01T00:00:00Z ...
Commit scans disabled (titles/body only) for speed.
Processed 600 PRs ... matches so far: 4
Processed 800 PRs ... matches so far: 6
Processed 1000 PRs ... matches so far: 8
Processed 1200 PRs ... matches so far: 10
Processed 1600 PRs ... matches so far: 18
Processed 2000 PRs ... matches so far: 25
Processed 2600 PRs ... matches so far: 33
Processed 2800 PRs ... matches so far: 41
Processed 3000 PRs ... matches so far: 41
Processed 3400 PRs ... matches so far: 42
Processed 3600 PRs ... matches so far: 45
Processed 3800 PRs ... matches so far: 50
Processed 4000 PRs ... matches so far: 52
Processed 4200 PRs ... matches so far: 53
Processed 4400 PRs ... matches so far: 57
Processed 4600 PRs ... matches so far: 60
Processed 4800 PRs ... matches so far: 66
Processed 5000 PRs ... matches so far: 68
Processed 5200 PRs ... matches so far: 74
Processed 5400 PRs ... matches so far: 86
Processed 5600 PRs ... matches so far: 91
Processed 5800 PRs ... matches so far: 95
Processed 6000 PRs ... matches so far: 103
Processed 6200 PRs ... matches so far: 114
Processed 6400 PRs ... matches so far: 132
Processed 6600 PRs ... matches so far: 142
Processed 6800 PRs ... matches so far: 142
Processed 7000 PRs ... matches so far: 151
Processed 7200 PRs ... matches so far: 152
Processed 7400 PRs ... matches so far: 153
Processed 7600 PRs ... matches so far: 154
Processed 7800 PRs ... matches so far: 157
Processed 8000 PRs ... matches so far: 161
Processed 8200 PRs ... matches so far: 164
Processed 8400 PRs ... matches so far: 164
